"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"111",169096,"fle.27.2223","Flounder (Platichthys flesus) in subdivisions 22 and 23 (Belt Seas and the Sound)","fle"
"112",169097,"fle.27.2425","Flounder (Platichthys flesus) in subdivisions 24 and 25 (west of Bornholm and southwestern central Baltic)","fle"
"113",169098,"fle.27.2628","Flounder (Platichthys flesus) in subdivisions 26 and 28 (east of Gotland and Gulf of Gdansk)","fle"
"114",169099,"fle.27.2729-32","Flounder (Platichthys flesus) in subdivisions 27 and 29–32 (northern central and northern Baltic Sea)","fle"
"115",169100,"fle.27.3a4","Flounder (Platichthys flesus) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)","fle"
"116",169101,"gag-nea","Tope (Galeorhinus galeus) in the Northeast Atlantic","gag"
"117",169101,"gag.27.nea","Tope (Galeorhinus galeus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","gag"
"118",169102,"gfb-comb","Greater forkbeard (Phycis blennoides) in the Northeast Atlantic","gfb"
"119",169102,"gfb.27.nea","Greater forkbeard (Phycis blennoides) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","gfb"
"120",169103,"ghl-arct","Greenland halibut in Sub-areas I & II","ghl"
"121",169103,"ghl-arct","Greenland halibut in Subareas I and II","ghl"
"122",169104,"ghl-grn","Greenland halibut in Sub-areas V and XIV","ghl"
"123",169104,"ghl-grn","Greenland halibut in Subareas V, VI, XII and XIV","ghl"
"124",169103,"ghl.27.1-2","Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic)","ghl"
"125",169104,"ghl.27.561214","Greenland halibut (Reinhardtius hippoglossoides) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)","ghl"
"126",169105,"gug-347d","Grey gurnard (Eutrigla gurnardus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)","gug"
"127",136535,"gug-89a","Grey gurnard in Subarea VIII and Division IXa","gug"
"128",136536,"gug-celt","Grey gurnard in Subarea VI and Divisions VIIa-c and e-k (Celtic Sea and West of Scotland)","gug"
